,News,Classification
74,BasWare Invoice Processing  BasWare Contract Matching  BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .,neutral
75,The Group 's revenue amounts to over EUR 80 million  about half of which is accounted for by exports .,neutral
76,The Innova 2 building will be located close to downtown  in the immediate vicinity of Paviljonki and the travel center  and within walking distance from the heart of the city thanks to the trade fair bridge .,neutral
77,CHS Expo Freight is a major Finnish fair  exhibition and culture logistics company that provides logistics services to various events by land  air and sea .,neutral
78,It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .,positive
79,Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m  up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .,positive
80,The number of magazine and newspaper readers remained unchanged .,neutral
81,The group had an order book of EUR 7.74 mn at the end of 2007 .,neutral
82,The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive
83,Another firm Air Liquide was exempted because it left the market in 1998 .,neutral
84,The facility will be used to refinance Citycon 's existing credit facility  the company said .,neutral
85,"QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version , QPR ProcessGuide Xpress .",neutral
86,Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions  but also strengthen our capability to offer industry-leading products for our customers in China . '',positive
87,The metal has gained 41 percent this year as demand from China  the world 's largest user  increased .,positive
88,Kiosk and cinema operations have suffered  in particular .,negative
89,( I&H ) in a move to enhance growth .,positive
90,Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,neutral
91,Budapest  August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders  communications director for Elcoteq 's local unit  Zoltan Krippl told MTI on Monday .,negative
92,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral
93,Because expenditures must be justified to pass budget approval hurdles  we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .,neutral
94,The respondents praised Finnair 's reliability  Finnishness  and understanding of its target group .,positive
95,The measures result from weak demand in the shipbuilding industry .,negative
96,Rapala Fishing Frenzy 2009 .,neutral
97,The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral
98,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral
99,`` Demand for sports equipment was good in 2005 .,positive
100,Finnish property investor Sponda said it has agreed a 100 mln eur  five-year mln credit facility with Swedbank and a 50 mln eur  seven-year facility with OKO Bank .,neutral
101,Most of the dividend will go to the Grimaldi family .,neutral
102,The price will be specified at the completion date .,neutral
103,The transaction will take place without payment of merger consideration .,neutral
104,According to CEO Kai Telanne  the company 's newspapers achieved the best financial result ever .,positive
105,The e-commerce site and flagship will be managed by Marimekko North America Retail LLC  a subsidiary established in the U.S. last year .,neutral
106,Mr Clausen  however  refused to comment the option that Nordea would consider buying into Citadele Bank .,neutral
107,The figure does not include food exports from Finland .,neutral
108,Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,neutral
109,No financial details of the deployment were disclosed .,neutral
110,The other seats would go to Edgar Edmonds  an American with experience of the clothing and retail industry  and Christian Fischer  an Austrian with experience in the winter sports goods business .,neutral
111,ADP News - Jan 13  2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .,neutral
112,Lule+Ñ municipality has awarded YIT a 2-year contract  for property management of about one third of the municipality 's properties  with a total area of 140000 sq. metres .,positive
113,This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive
114,Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008  up from EUR3 .3 m in the corresponding period in 2007 .,positive
115,The Swedish buyout firm has sold its remaining 22.4 percent stake  almost eighteen months after taking the company public in Finland .,neutral
116,The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral
117,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,negative
118,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,positive
119,Tecnomen  headquartered in Espoo  Finland  develops messaging and charging solutions for telecomms operators and service providers worldwide .,neutral
120,The company can not give up palm oil altogether  however .,neutral
121,An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc.  Verizon Communications Inc. and NTT Corp. of Japan .,neutral
122,The contract value amounts to EUR 2.4 million .,neutral
123,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral
124,Retail chain Suomen L+ñhikauppa was given the index 5.8  airline SAS 5.8  TeliaSonera 's broadband 6.1  German retail chain Lidl 6.1  Tele Finland 's mobile subscriptions 6.1  Tallink shipping line 6.3  and power company Helsinki Energy 6.3 .,neutral
125,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral
126,The Costanza light  with an aluminum base and washable shade  comes in white  pistachio  orange  blue and red .,neutral
127,The duration of the contract is 37 months .,neutral
128,The project will be a 2 x 600 MW coal-fired power plant  located some 420 km south of Hanoi  the company said .,neutral
129,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral
130,Sanoma Learning & Literature  offering print and digital learning materials  is present in eleven countries .,neutral
131,The new location is n't the only change Wellmont has in store for its air transport service .,neutral
132,Via the move  the company aims annual savings of some EUR3m  the main part of which are expected to be realized this year .,positive
133,( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan  Morocco and Ireland .,positive
134,According to CapMan Plc 's Corporate Governance  the majority of the committees ' members shall be independent of the Company .,neutral
135,EPS from continuing operations came in at 0.30 eur  up from 0.17 .,positive
136,15 September 2010 - Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .,neutral
137,The purchase price was not disclosed .,neutral
138,The mall is part of the Baltic Pearl development project in the city of St Petersburg  where Baltic Pearl CJSC  a subsidiary of Shanghai Foreign Joint Investment Company  is developing homes for 35000 people .,neutral
139,Metsaliitto will sell 1.1 million B shares of Neomarkka  accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .,neutral
140,RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,neutral
141,In 2007  the Group 's net sales stood at EUR 22 million and it had about 150 employees at the end of June  2008 .,neutral
142,Altona stated that the private company of Altona chairman Kevin Maloney  Tulla Resources  would take up its entitlement in full .,neutral
143,The contract comprises a log handling line  a peeling line  and a veneer drying and grading line .,neutral
144,Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,neutral
145,Founded in 2000  BioView automates laboratory tests  especially diagnostic tests for cancer .,neutral
146,Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,neutral
147,Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,positive
148,Changes being announced today will be effective after the close of trading on Friday  June 19  2009 .,neutral
149,He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,neutral
150,`` We 're delighted with the move '' says Morna Cowie  co-owner  above  `` it 's double the size of our current shop and has a lovely feel to it . '',positive
151,`` The implementation of these programs has had  and will have  negative impacts on 2006 and 2007 earnings  '' Mr Meiklejohn said .,negative
152,Liquid handling products include electronic and mechanical pipettes  disposable tips as well as pipette maintenance and calibration services for research institutions  healthcare and industrial laboratories .,neutral
153,Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,neutral
154,As a part of the plan  the Board of Directors decided to transfer a maximum of 330000 shares held by the company in a share issue against payment directed to Aspo Management Oy  a holding company acquired by the management .,neutral
155,"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes , 70 % of sales go to the Moscow region  about 20 % to the St Petersburg region  and the remainder to other locations .",neutral
156,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative
157,Operating loss was EUR 179mn  compared to a loss of EUR 188mn in the second quarter of 2009 .,positive
158,The deal was worth about EUR 1.2 mn .,neutral
159,Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj  Bertrand Sciard  President and CEO  tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .,neutral
160,Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,neutral
161,Sampo Bank 's market share of lending was 13.6 %  down from 14.4 % in the first quarter of 2008 .,negative
162,Exports grew 16.5 percent to 19.1 million liters .,positive
163,The share sale  to foreign and Finnish investors  is expected to raise some euro300 million ( US$ 380 million ) .,neutral
164,Metso is a global supplier of sustainable technology and services for mining  construction  power generation  automation  recycling and the pulp and paper industries .,neutral
165,One price category is for calls on the preferred operator 's network  and another for calls on other operators ' networks .,neutral
166,Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday  April 27  2007 approximately at 8.30 a.m. Finnish time .,neutral
167,The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .,positive
168,The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood .,neutral
169,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive
170,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive
171,Operating profit for 2009 lower than outlook published earlier .,negative
172,Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,negative
173,CompaniesandMarkets.com provides a wide range of research reports  industry statistics and competitive intelligence on the industrial sector .,neutral
174,The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State  Brazil .,positive
175,` By separating side businesses we will be able to faster expand and develop Tapro retail network .,positive
176,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,negative
177,CapMan has four investment areas ( CapMan Buyout  CapMan Technology  CapMan Life Science and CapMan Real Estate )  and each of them has a dedicated team .,neutral
178,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,positive
179,Finnish construction company YIT Oyj said on November 13  2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .,positive
180,The businesses to be divested offer dairy  edible fats  ready-meal and ice-cream packaging to multinational and local customers .,neutral
181,EBIT excluding non-recurring items was estimated to increase from 2009 .,positive
182,The value of the deal was not disclosed .,neutral
183,Currently  YIT builds a housing estate Zapadnye Vorota 26000 square metres in the city and a house 9910 square metres  which will be completed at the end of 2009 .,neutral
184,Operating loss totalled EUR 5.2 mn  compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .,negative
185,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,neutral
186,Lifetree was founded in 2000  and its revenues have risen on an average by 40 % with margins in late 30s .,positive
187,Return on capital employed rose by 4.8 percentage points to 19.6 % .,positive
188,Arvo Vuorenmaa  the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .,positive
189,Return on investment was 16.6 % compared to 15.8 % in 2004 .,positive
190,Strong growth has continued also in China .,positive
191,Kaleva Kustannus Oy ( business ID 0187274-0 ) has  according to its notice  on 10 August 2009 acquired 4458000 Alma Media shares .,neutral
192,`` Tweeple should check who 's following them  and be cautious when clicking on URLs and tinyurls . '',neutral
193,The Tekla Structures product box  if needed  is now made from recycled material .,neutral
194,In Q1 of 2009  the company 's operating loss totalled EUR 0.3 mn  compared to a profit of EUR 3.6 mn in Q1 of 2008 .,negative
195,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral
196,18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation  manufacturing  distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .,positive
197,Vaisala also said it expects net sales of EUR 253.2 million for 2010  compared with EUR 252.2 million recorded in 2009 .,positive
198,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,positive
199,Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,neutral
200,Finnish IT consultancy Satama Interactive Oyj said on November 13  2006 that Jarmo Lonnfors took up the position of CEO .,neutral
201,The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral
202,Performance in the second half of 2009 exceeded expectations .,positive
203,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,positive
204,The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction  energy distribution and municipalities .,neutral
205,The sale will be finalized in September or October  the company said .,neutral
206,Uponor improved its performance in spite of the decrease in residential construction in the US .,positive
207,At the beginning of the subscription period on May 2  2006 the share subscription price under B option right is EUR 10.22 per share .,neutral
208,The announcement pushed Freenet shares down 6.3 %  or EUR0 .71  in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .,negative
209,The company is well positioned in Brazil and Uruguay .,positive
210,What would you like to see changed on Nokia 's next attempt ?,neutral
211,According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,neutral
212,The closing of such transaction took place today .,neutral
213,Finnish newspaper publisher Sanoma  of media group SanomaWSOY  is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro .,neutral
214,The 3C Expo is a signature show in Dongguan  which is supported by the Dongguan Municipal Government every year  featuring computer accessories  software  communication and network products .,neutral
215,With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive
216,The company operates a U.S. division in Lisle  Ill. .,neutral
217,Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral
218,The Group also has a strong global position in other fishing categories .,positive
219,Olvi  which controls a 94 percent stake in Ragutis through A. Le Coq  said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year  a rise of 20.4 percent from 12.49 million euros in 2004 .,positive
220,Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral
221,The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros  13.8 % up on the year  the company said earlier .,positive
222,Foodservice and consumer goods markets are served by approximately 13000 people in 54 manufacturing units and several sales offices in 33 countries .,neutral
223,Following the registration  the number of issued and outstanding shares of Basware is 12890829 .,neutral
224,The total investment in the company will be EUR58m  of which Wartsila 's share will be EUR29m .,neutral
225,They are responsible for their own operations  customer relationships  and the development of these .,neutral
226,The objective of the planned measures is to achieve significant savings in the next few years .,positive
227,Curators have divided their material into eight themes .,neutral
228,Operating profit totalled EUR 83.0 mn  up from EUR 23.5 mn year-on-year .,positive
229,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,positive
230,The group 's net sales in 2007 were EUR683 .6 m.,neutral
231,A quick `` one-stop-shop '' to understand the company .,neutral
232,The diesel margin has remained high .,positive
233,Net sales have been eaten by the weak US dollar .,negative
234,Okmetic revised its 2010 financial outlook based on its order book .,neutral
235,Productional situation has now improved .,positive
236,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative
237,Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services  as well as rental and sale of modular space .,neutral
238,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative
239,- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia  making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR,positive
240,Since the registration of the shares subscribed in a directed share issue  the new number of Panostaja shares and voting rights is 41733110 .,neutral
241,Revenues at the same time grew 14 percent to 43 million euros .,positive
242,The company operates worldwide and employs in total approximately 47000 persons .,neutral
243,Tecnomen 's system features a new range of value-added services for prepaid and post-paid billing  charging and rating of voice calls  data traffic  or any kind of content services in both mobile and fixed networks .,neutral
244,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive
245,When the product is manufactured in Finland  it is also packed in the country .,neutral
246,The mill has long traditions and holds an established position in the markets .,positive
247,Nokia Siemens Networks provides mobile and fixed network infrastructure  communications and networks service platforms  as well as professional services  to operators and service providers .,neutral
248,The revenues of the business reached NOK 12 million for 2008 .,neutral
249,The site will cover over six hectares .,neutral
250,`` Consumers have very well received our packed fresh meat .,positive
251,Under Finnish law  Parliament grants licences to build nuclear power plants .,neutral
252,The acquisition is expected to improve access to chrome ore resources in Turkey .,positive
253,The arrangements do not apply to the group 's units outside Finland .,neutral
254,Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room  Aleksanterinkatu 17  the same day at 12:30 - 1:30 p.m. Light lunch will be served .,neutral
255,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,neutral
256,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral
257,Huhtamaki 's rigid plastic consumer goods operations  which are mainly in Europe  will be separated into a new reporting segment as of 1 January 2009 .,neutral
258,The add-on order contains  among others  control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .,neutral
259,Samsung currently occupies third place and lost ground during the quarter  dropping by 1.8 % to an 11.1 % share overall .,negative
260,This new deal has strengthened the partnership from Telemig Celular and Tecnomen  which it has started since the beginning of Telemig 's prepaid operations .,positive
261,Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive
262,The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,negative
263,Nevertheless  its market share rose to 49.14 percent from 48.51 percent a year earlier .,positive
264,We are now taking Marimekko there on a distinctly more significant scale .,neutral
265,The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive
266,Union and company officials did not return calls yesterday .,neutral
267,At the moment  there are approximately 20 Vianor sales offices in Russia .,neutral
268,fi is developing cooperation in keyword advertising with Microsoft .,positive
269,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative
270,Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads  bridges  airports and shops are being built .,neutral
271,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive
272,The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral
273,YIT CORPORATION SEPT. 24  2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON  SEPT. 26  2007 On Wednesday  September 26  2007  YIT will hold a Capital Markets Day for investors and analysts in London .,neutral
